rank,verb,collocations,ru
665,arrivare,arriva a destinazione;arriva il momento;arriva in ritardo;arriva l'ora;arrivano a concordare;arrivano a destinazione;arrivano al termine;arrivano in ritardo;arrivare a destinazione;arrivare a un accordo;arrivare a una decisione;arrivare al limite;arrivare al punto;arrivare al traguardo;arrivare alla conclusione;arrivare alla fine;arrivare in ritardo;arrivare tardi;arrivate a destinazione;arrivate a un accordo;arrivate al termine;arrivate in ritardo;arriveranno a destinazione;arriveranno in ritardo;arriverà a destinazione;arriverà il momento;arriverà in ritardo;arriverà una soluzione;arrivi a destinazione;arrivi al punto;arrivi in ritardo;arriviamo a destinazione;arriviamo a un accordo;essere arrivati a destinazione;essere arrivati a un accordo;essere arrivati al termine;essere arrivato a destinazione,прибывать/приходить/достигать
672,immaginare,faticare a immaginare;immaginare il peggio;immaginare possibili scenari;immaginare un futuro;immaginare una soluzione;poter immaginare,воображать/представлять
680,diventare,diventano amici;diventano evidenti;diventano famosi;diventano grandi;diventano rossi;diventare adulti;diventare chiaro;diventare famoso;diventare grande;diventare impazzito;diventare invisibile;diventare matto;diventare rosso;diventare scuro;diventare un problema;diventati amici;diventati consapevoli;diventati famosi;diventati grandi;diventati matti;diventato comune;diventato evidente;diventato famoso;diventerà famoso;diventerà realtà;diventi bravo;diventi famoso;diventi grande;diventi matto;diventi rosso,становиться/делаться
682,sbagliare,aver sbagliato strada;hai sbagliato numero;ho sbagliato tutto;sbagliare approccio;sbagliare indirizzo;sbagliare l'ordine;sbagliare numero;sbagliare previsione;sbagliare pronuncia;sbagliare risposta;sbagliare scelta;sbagliare strada;sbagliare tutto;sbagliare valutazione;sbagliavo strada,ошибаться/промахиваться
695,scoprire,aver scoperto la verità;scoperto per caso;scopre il colpevole;scopre la verità;scopre per caso;scopre un segreto;scopre una nuova specie;scopri il segreto;scopri la verità;scopri le offerte;scoprire i dettagli;scoprire il colpevole;scoprire la verità;scoprire le cause;scoprire un errore;scoprire un nuovo mondo;scoprire un segreto;scoprire un tesoro;scoprire una cura;scoprire una soluzione,открывать/обнаруживать/раскрывать
710,decidere,decidere di andare;decidere il destino;decidere il percorso;decidere insieme;decidere la sorte;decidere tutto;decidere un colpevole;decidere una strategia;decidere velocemente,решать/определять
713,dormire,dorme in piedi;dorme profondamente;dorme sodo;dorme tranquillo;dormi profondamente;dormire fuori;dormire poco;dormire profondamente;dormire tutto il giorno;dormito male;dormito profondamente;far dormire i bambini;iniziare a dormire;non riuscire a dormire,спать/дремать
716,usare,usa correttamente;usando la forza;usano i social;usano il computer;usano l'app;usare il computer;usare il potere;usare l'intelligenza;usare la forza;usare la logica;usare la persuasione;usare la violenza;usare le armi;usare un metodo;usare un termine;usate correttamente;usiamo la forza;usiamo un metodo,использовать/применять/употреблять
731,restare,restano a guardare;restano in sospeso;restano sbalorditi;restare a casa;restare a guardare;restare deluso;restare ferito;restare imperturbabile;restare in silenzio;restare incerto;restare indietro;restare solo;restare sorpresi;restiamo a guardare;restiamo calmi;restiamo in attesa;restiamo in contatto,оставаться/остаться
746,continuare,continua a crescere;continua a insistere;continua a lavorare;continua a provare;continuano a crescere;continuano a insistere;continuano a lavorare;continuano a parlare;continuare a lavorare;continuare a leggere;continuare a provare;continuare così;continuare il discorso;continuare il viaggio;continuare l'attività;continuare la battaglia;continuare la ricerca;continuare lo sforzo;continuate a lavorare;continuate a provare;continuate lo studio;continuato a insistere;continuato a lavorare;continuava a cercare;continuava a insistere;continuava a lavorare;continuava a parlare;continuiamo il discorso,продолжать/продолжаться
759,aiutare,aiuta a capire;aiuta il prossimo;aiutare a capire;aiutare concretamente;aiutare i compagni;aiutare il processo;aiutare la famiglia;aiutare la ricerca;aiutare lo sviluppo;aiutare qualcuno,помогать/способствовать
763,funzionare,far funzionare;funziona a meraviglia;funziona male;funzionano correttamente;funzionano male;funzionare a meraviglia;funzionare a pieno ritmo;funzionare bene;funzionare male;funzionerà a meraviglia;ha funzionato a meraviglia;non funzionare,работать/функционировать/действовать
775,odiare,odia l'ipocrisia;odia la solitudine;odia mentire;odiano il rumore;odiano l'ingiustizia;odiano le bugie;odiano profondamente;odiava la realtà;si odiano a morte,ненавидеть/испытывать отвращение
784,cambiare,cambia atteggiamento;cambia idea;cambia marcia;cambia rotta;cambia vita;cambiando atteggiamento;cambiando idea;cambiando marcia;cambiando rotta;cambiando vita;cambiano abitudini;cambiano atteggiamento;cambiano idea;cambiano marcia;cambiano rotta;cambiare atteggiamento;cambiare idea;cambiare look;cambiare marcia;cambiare opinione;cambiare pelle;cambiare rotta;cambiare stagione;cambiare vita;cambiare volto;cambiate atteggiamento;cambiate idea;cambiate marcia;cambiate rotta;cambiate vita;cambiato atteggiamento;cambiato idea;cambiato registro;cambiato rotta;cambiato vita;essere cambiata radicalmente,менять/изменять/переменить
797,permettere,permesso di entrare;permette di capire;permette l'accesso;permette l'uso;permette lo svolgimento;permettere a qualcuno;permettere il passaggio;permettere l'accesso;permettere l'ingresso;permettersi qualcosa;permettiamo la partecipazione;permettono il ricambio,разрешать/позволять/допускать
800,giocare,gioca a calcio;gioca a carte;gioca a scacchi;gioca d'azzardo;gioca un ruolo;giocando a carte;giocare a calcio;giocare a carte;giocare a scacchi;giocare d'anticipo;giocare d'azzardo;giocare in squadra;giocare la carta;giocare sporco;giocare un ruolo;giocato a calcio;giocato male,играть/сыграть
836,controllare,controlla i documenti;controlla il prezzo;controlla il traffico;controlla l'email;controlla la temperatura;controllare i documenti;controllare i progressi;controllare i risultati;controllare il peso;controllare il traffico;controllare l'email;controllare l'identità;controllare la qualità;controllare la temperatura;controllare le spese;controllate il traffico;controllato attentamente,контролировать/проверять
847,iniziare,ha iniziato il viaggio;ha iniziato l'università;inizia a lavorare;inizia il gioco;inizia l'anno;inizia la corsa;inizia la partita;iniziando l'attività;iniziano a lavorare;iniziano a parlare;iniziano i lavori;iniziano le lezioni;iniziare a lavorare;iniziare a studiare;iniziare un corso;iniziare un discorso;iniziare un progetto;iniziare una carriera;iniziare una discussione;iniziò la trattativa,начинать/приступать
870,interessare,interessa il tema;interessano i fatti;interessava la questione,интересовать/занимать
873,tenere,tenendo d'occhio;tenendo per mano;tenere a bada;tenere a mente;tenere d'occhio;tenere duro;tenere fede;tenere il passo;tenere il segreto;tenere il tempo;tenere impegnato;tenere la porta;tenere posizione;tenete a mente;tenete d'occhio;tenete il tempo;teneva a cuore;teneva d'occhio;teneva il conto;teneva segreto;tenga a mente;tenga conto;tenga d'occhio;tenga presente;tengono a mente;tengono botta;tengono d'occhio;tengono il conto;teniamo a mente;teniamo d'occhio;teniamo il conto;teniamo impegnato;tenuto a pagare;tenuto in considerazione;tenuto per mano;tiene conto;tiene occupato;tiene ragione;tiene testa,держать/удерживать/сохранять
876,giurare,giurare il contrario;giurare il falso;giurare l'innocenza;giurare per iscritto;giurato fedeltà;giurato solennemente;giuro solennemente;giuro su dio;giuro sulla mia vita,клясться/присягать
915,pagare,paga a rate;paga il conto;paga in contanti;paga l'affitto;paga una multa;pagare a rate;pagare con la carta;pagare il conto;pagare il dovuto;pagare il prezzo;pagare il riscatto;pagare in contanti;pagare le tasse;pagare per intero;pagare un debito;pagare una multa;pagata a metà;pagata a rate;pagata in anticipo;pagata in contanti;pagata per intero;pagato a rate;pagato in contanti;pagato per intero;paghi a rate;paghi il conto;paghi l'affitto,платить/оплачивать/уплачивать
940,sparare,spara a zero;spara un colpo;spara un missile;sparare a vista;sparare addosso a qualcuno;sparare contro il nemico;sparare freneticamente;sparare nel mucchio;sparare un colpo di pistola;sparare un missile;sparare un proiettile;sparare una cavolata;sparato a vista;sparato in aria;sparato un colpo;sparato una bugia,стрелять/выстрелить
956,rimanere,essere rimasti delusi;essere rimasti sorpresi;essere rimasto deluso;essere rimasto in silenzio;essere rimasto sorpreso;rimane a disposizione;rimane a guardare;rimane deluso;rimane in silenzio;rimane in sospeso;rimanere a casa;rimanere a guardare;rimanere deluso;rimanere fedele;rimanere in silenzio;rimanere incerto;rimanere sorpresi;rimanete attenti;rimanete calmi;rimanete in silenzio;rimanete sintonizzati;rimanga a guardare;rimanga calmo;rimanga in attesa;rimanga in silenzio;rimanga indietro;rimango in attesa;rimango in silenzio;rimango stupito;rimangono a guardare;rimangono in silenzio;rimangono indietro;rimangono sospesi;rimangono stupiti;rimani a guardare;rimani attento;rimani in contatto;rimani in silenzio;rimani tranquillo;rimarrà tale;rimasti soli,оставаться/пребывать
961,ricordare,essere ben ricordato;essere ricordato per;non ricordare nulla;non ricordare più;ricordare a qualcuno;ricordare bene;ricordare con affetto;ricordare i dettagli;ricordare il passato;ricordare tutto;ricordare un evento;si ricorda di,помнить/вспоминать/напоминать
967,chiudere,chiude a chiave;chiude i rubinetti;chiude il conto;chiude l'occhio;chiude un accordo;chiudere a chiave;chiudere gli occhi;chiudere i conti;chiudere il cerchio;chiudere la bocca;chiudere la partita;chiudere un accordo;chiudere un affare;chiudere un capitolo;chiudere una ferita;chiudete a chiave;chiudete gli occhi;chiudete il rubinetto;chiudete l'ufficio;chiudi a chiave;chiudi gli occhi;chiudi l'account;chiudi un accordo;chiudo a chiave;chiudo il conto;chiudo l'occhio;chiudo la porta;chiudo un accordo;chiusa a chiave;essere chiuso;rimanere chiuso,закрывать/закрывать на ключ
974,dimenticare,dimentica il passato;dimentica tutto;dimenticare i dettagli;dimenticare il passato;dimenticare l'occasione;dimenticare la verità;dimenticare le chiavi;dimenticare le promesse;dimenticare tutto;dimenticare un appuntamento;dimentichi tutto;rimanere dimenticata;sentirsi dimenticata;si dimentica di;si dimentica il nome;venire dimenticata,забывать/позабыть
992,mancare,manca il coraggio;manca il respiro;manca l'appetito;manca l'aria;manca la voglia;mancano i fondi;mancano i presupposti;mancano le parole;mancano le prove;mancare all'appello;mancare di rispetto;mancare il bersaglio;mancare l'occasione;mancare un colpo;mancata risposta;mancato accordo;mancato pagamento;mancato rispetto;mancava all'appello;mancava il respiro;mancava l'appuntamento;mancava la voglia,не хватать/отсутствовать/пропускать
1003,adorare,adora ballare;adora leggere;adorare il cioccolato;adorare la propria patria;adorare un idolo;adorare una persona,обожать/поклоняться
1006,rubare,rubare denaro;rubare i gioielli;rubare il cuore;rubare l'attenzione;rubare l'idea;rubare la borsa;rubare la scena;rubare tempo;rubare un bacio;rubata sotto il naso;rubato il cuore,красть/воровать/похищать
1020,valere,non vale nulla;non valga la pena;vale la pena;valeva la differenza;valga il rischio,стоить/иметь ценность
1032,vestire,essere ben vestita;vestire il corpo;vestire un bambino;vestire un ruolo;vestire una donna;vestirsi bene;vestirsi di nero;vestirsi leggero;vestita a festa;vestita di nero;vestita elegantemente,одевать/носить/костюмировать
1044,intendere,intendere gli affari;intendere i propri interessi;intendere la materia;intendere una lingua,понимать/иметь в виду/намереваться
1056,riguardare,riguarda l'interesse pubblico;riguarda la gestione;riguarda la questione;riguarda la salute;riguarda la sicurezza;riguardano i diritti,касаться/относиться к/рассматривать
1061,scappare,scappa di casa;scappa lontano;scappa via;scappare a gambe levate;scappare dal pericolo;scappare dalla polizia;scappare dalla prigione;scappare di casa;scappare in fretta;scappare lontano;scappare via;scappare via terrorizzati;scappata di casa,убегать/сбежать/ускользать
