Verb Conjugation A1 Italian (Drill)
я устал (essere stanco);Io sono stanco.
я уже успею пойти на работу (andare al lavoro);Io sarò andato al lavoro.
ты уже успеешь пойти на работу (andare al lavoro);Tu sarai andato al lavoro.
он уже успеет пойти на работу (andare al lavoro);Lui sarà andato al lavoro.
она уже успеет пойти на работу (andare al lavoro);Lei sarà andata al lavoro.
мы уже успеем пойти на работу (andare al lavoro);Noi saremo andati al lavoro.
вы уже успеете пойти на работу (andare al lavoro);Voi sarete andati al lavoro.
они уже успеют пойти на работу (andare al lavoro);Loro saranno andati al lavoro.
я бы пошёл в кино (andare al cinema);Io andrei al cinema.
ты бы пошёл в кино (andare al cinema);Tu andresti al cinema.
он бы пошёл в кино (andare al cinema);Lui andrebbe al cinema.
она бы пошла в кино (andare al cinema);Lei andrebbe al cinema.
мы бы пошли в кино (andare al cinema);Noi andremmo al cinema.
вы бы пошли в кино (andare al cinema);Voi andreste al cinema.
они бы пошли в кино (andare al cinema);Loro andrebbero al cinema.
я бы пошел на работу (andare al lavoro);Io sarei andato al lavoro.
ты бы пошел на работу (andare al lavoro);Tu saresti andato al lavoro.
он бы пошел на работу (andare al lavoro);Lui sarebbe andato al lavoro.
она бы пошла на работу (andare al lavoro);Lei sarebbe andata al lavoro.
мы бы пошли на работу (andare al lavoro);Noi saremmo andati al lavoro.
вы бы пошли на работу (andare al lavoro);Voi sareste andati al lavoro.
они бы пошли на работу (andare al lavoro);Loro sarebbero andati al lavoro.
она хочет, чтобы я пошел на работу (andare al lavoro);Lei vuole che io vada al lavoro.
он хочет, чтобы ты пошел на работу (andare al lavoro);Lui vuole che tu vada al lavoro.
я думаю, что он идет на работу (andare al lavoro);Io penso che lui vada al lavoro.
мы надеемся, что она идет на работу (andare al lavoro);Noi speriamo che lei vada al lavoro.
ты думаешь, что мы идем на работу (andare al lavoro);Tu pensi che noi andiamo al lavoro.
я верю, что вы идете на работу (andare al lavoro);Io credo che voi andiate al lavoro.
он хочет, чтобы они шли на работу (andare al lavoro);Lui vuole che loro vadano al lavoro.
она хотела, чтобы я шел на работу (andare al lavoro);Lei voleva che io andassi al lavoro.
он хотел, чтобы ты шел на работу (andare al lavoro);Lui voleva che tu andassi al lavoro.
я думал, что он пойдет на работу (andare al lavoro);Io pensavo che lui andasse al lavoro.
мы надеялись, что она пойдет на работу (andare al lavoro);Noi speravamo che lei andasse al lavoro.
они хотели, чтобы мы шли на работу (andare al lavoro);Loro volevano che noi andassimo al lavoro.
я думал, что вы пойдете на работу (andare al lavoro);Io pensavo che voi andaste al lavoro.
она надеялась, что они пойдут на работу (andare al lavoro);Lei sperava che loro andassero al lavoro.
он думает, что я уже ушел на работу (andare al lavoro);Lui pensa che io sia andato al lavoro.
она надеется, что ты уже ушел на работу (andare al lavoro);Lei spera che tu sia andato al lavoro.
я думаю, что он уже ушел на работу (andare al lavoro);Io penso che lui sia andato al lavoro.
мы верим, что она уже ушла на работу (andare al lavoro);Noi crediamo che lei sia andata al lavoro.
ты думаешь, что мы уже ушли на работу (andare al lavoro);Tu pensi che noi siamo andati al lavoro.
я сомневаюсь, что вы уже ушли на работу (andare al lavoro);Io dubito che voi siate andati al lavoro.
он предполагает, что они уже ушли на работу (andare al lavoro);Lui suppone che loro siano andati al lavoro.
я чувствую себя хорошо (stare bene);Io sto bene.
ты чувствуешь себя хорошо (stare bene);Tu stai bene.
он чувствует себя хорошо (stare bene);Lui sta bene.
она чувствует себя хорошо (stare bene);Lei sta bene.
мы чувствуем себя хорошо (stare bene);Noi stiamo bene.
вы чувствуете себя хорошо (stare bene);Voi state bene.
они чувствуют себя хорошо (stare bene);Loro stanno bene.
я чувствовал себя хорошо (stare bene);Io stavo bene.
ты чувствовал себя хорошо (stare bene);Tu stavi bene.
он чувствовал себя хорошо (stare bene);Lui stava bene.
она чувствовала себя хорошо (stare bene);Lei stava bene.
мы чувствовали себя хорошо (stare bene);Noi stavamo bene.
вы чувствовали себя хорошо (stare bene);Voi stavate bene.
они чувствовали себя хорошо (stare bene);Loro stavano bene.
я остался спокойным (stare calmo);Io stetti calmo.
ты остался спокойным (stare calmo);Tu stesti calmo.
он остался спокойным (stare calmo);Lui stette calmo.
она осталась спокойной (stare calmo);Lei stette calma.
мы остались спокойными (stare calmo);Noi stemmo calmi.
вы остались спокойными (stare calmo);Voi steste calmi.
они остались спокойными (stare calmo);Loro stettero calmi.
я чувствовал себя хорошо (stare bene);Io sono stato bene.
